网页标题和屏幕名称,查看次数,用户数,新用户数,每位用户的浏览量,平均互动时长,唯一身份用户滚动次数,事件数,转化次数,总收益
GenkiBox бета-тест NFT раздача,6,229,4,0.026200873362445400,37.506550218340600,175,396,0,0
玄机推特空间 X ACS X 骄傲的小猫帮,6,22,1,0.2727272727272730,31.681818181818200,15,50,0,0
Genki Box Beta 测试 NFT 赠品,5,13,4,0.38461538461538500,12.923076923076900,12,37,0,0
Quà tặng Proud Kitty Gang $ MINT,5,56,1,0.08928571428571430,31.375,34,114,0,0
iGain x Yearn x Fantom - Collect the 3 DeFi Runes! 🍀⚡️💧,5,1,0,5,96,1,13,0,0
ПОДАРОК ​​ЗАГАДОЧНОЙ КОРОБКИ ZEBRA X VERA,5,14,0,0.35714285714285700,38.142857142857100,10,29,0,0
骄傲的小猫帮$MINT赠品,5,18,1,0.2777777777777780,33.44444444444440,8,46,0,0
404: This page could not be found,4,5,0,0.8,0.2,3,11,0,0
GENKI TWITTER SPACE X FREEDOM X ВЕРА,4,17,0,0.23529411764705900,39.35294117647060,10,37,0,0
GENKI TWITTER SPACE X INTO WALLET X SIL FINANCE,4,24,3,0.16666666666666700,23.833333333333300,13,49,0,0
noX NFT 折扣& U 赠品,4,41,4,0.0975609756097561,10.804878048780500,37,70,0,0
GENKI TWITTER SPACE X НА КОШЕЛЕК X SIL FINANCE,3,29,0,0.10344827586206900,31.310344827586200,18,61,0,0
Soulmeta & Encentive 1500 美元 NFTs+盲盒优惠券 空投,3,8,0,0.375,54,6,40,0,0
元气TWITTER空间X WOWSWAP X BETAMARS,3,1,1,3,6,1,10,0,0
ACS-Kampagne,2,2,0,1,101.5,1,6,0,0
GENKI TWITTER SPACE X FREEDOM X VERA X COINBRAIN,2,1,0,2,30,1,8,0,0
GenkiBox Display Campaign,2,2,0,1,11.5,1,4,0,0
GenkiBox Test Campaign,2,1,0,2,7,1,7,0,0
Genki推特空间X WOWSWAP X BETAMARS,2,1,1,2,132,1,12,0,0
Hadiah Proud Kitty Gang $MINT,2,62,1,0.03225806451612900,29.274193548387100,54,180,0,0
Proud Kitty Gang $ MINT giveaway,2,23,1,0.08695652173913040,40.52173913043480,21,53,0,0
Rh！noX NFT折扣和U赠品,2,27,2,0.07407407407407410,33.18518518518520,25,46,0,0
Soulmeta & Encentive 1500 دولار NFTs + قسائم الصناديق العمياء Airdrop,2,6,1,0.3333333333333330,57.333333333333300,3,24,0,0
Soulmeta & Quà tặng trị giá 1500 đô la Mỹ + Phiếu giảm giá hộp mù Airdrop,2,27,0,0.07407407407407410,18.22222222222220,24,54,0,0
Программа баунти Apecoinflip,2,6,2,0.3333333333333330,84.16666666666670,6,21,0,0
BABYSWAP X GENKI AMA 活动,1,4,1,0.25,12,2,9,0,0
GENKI TWITTER ESPACIO X ENERGY8 X BETFURY,1,5,0,0.2,65.2,4,19,0,0
GENKI TWITTER RUANG X AIRNFTS X APESWAP,1,1,0,1,168,1,12,0,0
GENKI TWITTER SPACE X ONTO钱包X SIL FINANCE,1,18,1,0.05555555555555560,27.77777777777780,12,44,0,0
GENKI TWITTER SPACE X WOW SWAP X BETA MARS,1,6,1,0.16666666666666700,5,5,11,0,0
GENKI 推特空间 X ACS X 自豪 KITTY GANG,1,2,1,0.5,10,1,5,0,0
GENKI 推特空间 X AIR NFTS X APES WAP,1,2,1,0.5,21.5,2,6,0,0
Genki X Freedom Soma Kid NFT 推出赠品,1,15,0,0.06666666666666670,11,8,28,0,0
GenkiBox Бета-тест NFT Раздача,1,5,1,0.2,223,5,15,0,0
GenkiBox 演示活动,1,23,1,0.043478260869565200,17.608695652173900,17,38,0,0
Program Airdrop WOWmax,1,13,0,0.07692307692307690,31.46153846153850,10,27,0,0
Proud Kitty Gang $薄荷赠品,1,8,1,0.125,23.875,8,12,0,0
Rh!noX NFT 할인 및 U 경품,1,5,1,0.2,24.4,2,7,0,0
Soulmeta & Bit.store $1500 NFTs+盲盒券 空投,1,3,0,0.3333333333333330,11.333333333333300,1,11,0,0
Soulmeta & Encentive $ 1500 NFT + купоны на слепые коробки Airdrop,1,8,0,0.125,48.625,7,28,0,0
